Full_Info
"60 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 170m² | A02199213 • Đường R2, An Khánh, Quận 2, | 3 | 2 | 170 m²"
"27.5 tỷ | Căn hộ The Metropole Thủ Thiêm | A02199214 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 180 m²"
"37 tỷ | Căn hộ The Metropole Thủ Thiêm, diện tích 102m² | A02199215 • Đường R2, An Khánh, Quận 2, | 3 | 2 | 102 m²"
"79 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 170m² | A02199211 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 170 m²"
"79.1 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 270m² | A02199210 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 270 m²"
"5.28 tỷ | BÁN CĂN HỘ SUNRISE RIVERSIDE 2 PHÒNG NGỦ SỔ HỒNG SẴN | ANB63822 • Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè, | 2 | 2 | 69.11 m²"
"20.3 tỷ | Căn hộ The Berkley Thao Dien hướng Tây Bắc, diện tích 141.7m² | A02199202 • Xa Lộ Hà Nội, Thảo Điền, Quận 2, | 2 | 2 | 141.7 m²"
"28.8 tỷ | Căn hộ The Berkley Thao Dien hướng Đông Bắc, diện tích 176.78m² | A02199203 • Xa Lộ Hà Nội, Thảo Điền, Quận 2, | 3 | 2 | 176.78 m²"
"15.36 tỷ | Căn hộ The Berkley Thao Dien hướng Đông Nam, diện tích 93.68m² | A02199204 • Xa Lộ Hà Nội, Thảo Điền, Quận 2, | 2 | 2 | 93.68 m²"
"24.32 tỷ | Căn hộ The Berkley Thao Dien hướng Tây Nam, diện tích 143.58m² | A02199205 • Xa Lộ Hà Nội, Thảo Điền, Quận 2, | 2 | 2 | 143.58 m²"
